Model,val_jaccard (IOU),val_recall,val_precision,val_dice (F1-Score),val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/image_size,config/lr,logdir
1,0.6851789409464056,0.7929741279645399,0.8353277146816254,0.8127096132798628,0.0524628370661627,40.55134916305542,False,10,857ec677,2023-07-14_12-27-26,1689337646,402.9799041748047,132854,1d5d55243a2a,172.28.0.12,402.9799041748047,10,352,0.0005913525136932737,"/root/ray_results/model_creator_2023-07-14_12-20-35/model_creator_857ec677_1_image_size=352,lr=0.0006_2023-07-14_12-20-35"
2,0.645429714159532,0.793304521929134,0.776333901015195,0.7839223471554843,0.0794986042786728,41.35224294662476,True,1,e0b649df,2023-07-14_12-28-07,1689337687,41.35224294662476,132854,1d5d55243a2a,172.28.0.12,41.35224294662476,1,352,0.0005835502462914096,"/root/ray_results/model_creator_2023-07-14_12-20-35/model_creator_e0b649df_2_image_size=352,lr=0.0006_2023-07-14_12-20-43"
3,0.6308411739089272,0.7240489640019157,0.8317865891890093,0.772585167126222,0.0912001166831363,40.70807337760925,True,1,54abb7f6,2023-07-14_12-28-48,1689337728,40.70807337760925,132854,1d5d55243a2a,172.28.0.12,40.70807337760925,1,352,0.0005555704073977551,"/root/ray_results/model_creator_2023-07-14_12-20-35/model_creator_54abb7f6_3_image_size=352,lr=0.0006_2023-07-14_12-27-26"
4,0.6442574912851508,0.7612787539308722,0.8076148602095518,0.7827706174416975,0.0884296318346803,41.088845014572144,True,1,9254af0a,2023-07-14_12-29-29,1689337769,41.088845014572144,132854,1d5d55243a2a,172.28.0.12,41.088845014572144,1,352,0.0005078475222784857,"/root/ray_results/model_creator_2023-07-14_12-20-35/model_creator_9254af0a_4_image_size=352,lr=0.0005_2023-07-14_12-28-07"
5,0.6384300183166157,0.7427399727431211,0.8201913047920574,0.7785566232421182,0.0895263481546532,40.319600343704224,True,1,e6c58488,2023-07-14_12-30-10,1689337810,40.319600343704224,132854,1d5d55243a2a,172.28.0.12,40.319600343704224,1,352,0.0005980259545331723,"/root/ray_results/model_creator_2023-07-14_12-20-35/model_creator_e6c58488_5_image_size=352,lr=0.0006_2023-07-14_12-28-48"
6,0.6508830785751343,0.8274585225365378,0.7537625567479567,0.7880045907063917,0.067129439081658,40.619783878326416,True,2,90ab8fa4,2023-07-14_12-31-31,1689337891,81.24516892433167,132854,1d5d55243a2a,172.28.0.12,81.24516892433167,2,352,0.0005283759553711243,"/root/ray_results/model_creator_2023-07-14_12-20-35/model_creator_90ab8fa4_6_image_size=352,lr=0.0005_2023-07-14_12-29-29"
7,0.5987293097105894,0.6670556136152961,0.8546491780064323,0.7473078180443157,0.1163953061808239,41.05515384674072,True,1,fb40023b,2023-07-14_12-32-12,1689337932,41.05515384674072,132854,1d5d55243a2a,172.28.0.12,41.05515384674072,1,352,0.0005180762395128636,"/root/ray_results/model_creator_2023-07-14_12-20-35/model_creator_fb40023b_7_image_size=352,lr=0.0005_2023-07-14_12-30-10"
8,0.6408084251663901,0.8217065930366516,0.745464793660424,0.780599984255704,0.1011377420615066,40.688427209854126,True,1,0ad750b0,2023-07-14_12-32-53,1689337973,40.688427209854126,132854,1d5d55243a2a,172.28.0.12,40.688427209854126,1,352,0.0005667638595961657,"/root/ray_results/model_creator_2023-07-14_12-20-35/model_creator_0ad750b0_8_image_size=352,lr=0.0006_2023-07-14_12-31-31"
9,0.6363108049739491,0.7576527162031694,0.7998549233783375,0.7767974815585397,0.0935127938335592,40.819769620895386,True,1,8727d96a,2023-07-14_12-33-34,1689338014,40.819769620895386,132854,1d5d55243a2a,172.28.0.12,40.819769620895386,1,352,0.0005038003710419513,"/root/ray_results/model_creator_2023-07-14_12-20-35/model_creator_8727d96a_9_image_size=352,lr=0.0005_2023-07-14_12-32-12"
10,0.6390755772590637,0.7764906124635176,0.7829081605781208,0.7789245870980349,0.0920816057107665,40.09322881698608,True,1,6935b42f,2023-07-14_12-34-14,1689338054,40.09322881698608,132854,1d5d55243a2a,172.28.0.12,40.09322881698608,1,352,0.0005623727260361227,"/root/ray_results/model_creator_2023-07-14_12-20-35/model_creator_6935b42f_10_image_size=352,lr=0.0006_2023-07-14_12-32-53"
